name,url,rating,num_reviews,location,categories,last_reviews_count,errors_at,address,menu_url,menu_items_scraped_flag,top_food_items
Abyssinia Restaurant and Cafe,/biz/abyssinia-restaurant-and-cafe-phoenix,4.5,211,"Phoenix, AZ","Ethiopian, Coffee & Tea",212,-1,"842 E Indian School Rd, Phoenix, AZ 85014",/menu/abyssinia-restaurant-and-cafe-phoenix,1,"['Sambussa', 'Doro Wat', 'Veggie Combo', 'Abyssinia Signature', 'Firm Tibs', 'Tickle Gomen', 'Key Wat', 'Red Lentils Roll', 'Yebeg Alicha', 'Yebeg Alicha Wat']"
Yard House,/biz/yard-house-glendale-2,3.5,1106,"Phoenix, AZ","Bars, Vegetarian, American (New)",1106,-1,"9401 West Westgate Blvd, Glendale, AZ 85305",/menu/yard-house-glendale-2/appetizers,1,"['Chicken Lettuce Wraps', 'Spicy Tuna Roll', 'Southern Fried Chicken', 'Onion Ring Tower', 'California Roll', 'Street Tacos', 'Clam Chowder', 'French Onion Soup', 'Fish and Chips']"
Gangnam Sushi & Grill,/biz/gangnam-sushi-and-grill-tempe-3,4.0,367,"Phoenix, AZ","Sushi Bars, Japanese, Korean",363,-1,"933 E University Dr, Tempe, AZ 85281",/menu/gangnam-sushi-and-grill-tempe-3,1,"['Bulgogi Bibimbap', 'Vegas Roll', 'California Roll', 'Tempe Roll', 'Salmon Nigiri', 'Teriyaki Chicken Soup Combo', 'Kimchi Stew Soup', '6 Piece Nigiri and 1 Specialty Roll', 'Japchae', 'Chicken Teriyaki']"
Crackers & Co Cafe,/biz/crackers-and-co-cafe-tempe,4.0,501,"Phoenix, AZ","American (Traditional), Breakfast & Brunch, Cafes",499,-1,"1285 W Elliot Rd, Tempe, AZ 85284",/menu/crackers-and-co-cafe-tempe/lunch-menu,1,"[""Crackers' Bleu Eggs Benedict"", 'French Toast', 'Pork Carnitas Melt']"
Koreatown,/biz/koreatown-mesa,4.0,391,"Phoenix, AZ",Korean,391,-1,"1832 W Broadway Rd, Mesa, AZ 85202",/menu/koreatown-mesa,1,"['Spicy Chicken Bulgogi', 'Purple Rice', 'Korean BBQ', 'Spicy Pork Belly', 'Beef Bulgogi', 'Seafood Tofu Soup', 'Kimchi Fried Rice', 'Pork Belly Lettuce Wraps', 'Soft Tofu Soup', 'Short Rib Soup']"
SaBai Modern Thai,/biz/sabai-modern-thai-phoenix,3.5,425,"Phoenix, AZ",Thai,422,-1,"4121 E Thomas Rd, Phoenix, AZ 85018",/menu/sabai-modern-thai-phoenix,1,"['Pad Thai', 'Thai Lettuce Wraps', 'Crab Wonton', 'Coco Soup', 'Avocado Curry', 'Papaya Salad', 'Satay', 'Crispy Thai Rolls', 'Pad Prik King', 'Cashew Chicken']"
Tortas Manny,/biz/tortas-manny-phoenix,5.0,84,"Phoenix, AZ",Mexican,84,-1,"845 W Southern Ave, Phoenix, AZ 85041",/menu/tortas-manny-phoenix,1,"['Carne Asada Torta', 'Torta Cubana', 'Carne Asada Tacos', 'Carne Asada Burrito', 'Vegetarian Torta', 'Fresas Con Crema', 'Pierna', 'Agua Fresca', 'Aguacate']"
Authentic Thai Kitchen,/biz/authentic-thai-kitchen-phoenix-2,4.5,144,"Phoenix, AZ",Thai,144,-1,"4500 N 12th St, Phoenix, AZ 85014",/menu/authentic-thai-kitchen-phoenix-2,1,"['Pad Thai', 'Red Curry', 'Tom Kha Soup', 'Papaya Salad']"
Ziggys Magic Pizza Shop,/biz/ziggys-magic-pizza-shop-phoenix,4.0,62,"Phoenix, AZ",Pizza,62,-1,"401 W Van Buren St, Phoenix, AZ 85003",/menu/ziggys-magic-pizza-shop-phoenix,1,[]
Marisa’s Mexican Seafood Cocina,/biz/marisas-mexican-seafood-cocina-phoenix,4.0,79,"Phoenix, AZ","Seafood, Mexican",79,-1,"4211 W Bethany Home, Phoenix, AZ 85019",/menu/marisas-mexican-seafood-cocina-phoenix,1,"['Fish Tacos', 'Red Snapper', 'Mariscos', 'Spicy Shrimp Tacos', 'Costa Azul Bacon Wrapped Shrimp', 'La Torre China', 'Aquachile', 'Carne Asada Tacos', 'Queso Fundido', 'Shrimp Quesadilla']"
